Ticker,Name,Sector,Industry,Universe,Volume,AverageVolume10days,MACDV_12_26_9,MACDV_H_12_26_9,MACDV_H_12_26_9_TrendUp,MACDV_50_200,OTT Uptrend,OTT Ratio,ATR_20,Signal,USI,USI Diff,USI crossed zero,Num shares,Close
SATS,EchoStar,Communication Services,Wireless Telecommunication Services,S&P 400,2930500,3896210.0,138.3603139880164,-39.48022183256376,False,1318.0992550369206,True,1.022374653859294,3.3329314402443013,None,0.28783224709693295,-0.037826474078800576,False,30,74.0
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,5169900,5780180.0,123.52190287207397,-66.71595131246865,False,1302.1192491210736,True,1.018566433892072,9.397923189946223,None,0.164997675443988,-0.11371936536520402,False,10,214.3800048828125
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,7033300,11739200.0,180.3468493648327,-51.400786223305175,False,1279.5259451871352,True,1.0228254510794348,4.971714111047151,None,0.3353206463893008,-0.09278387613620592,False,20,115.41999816894531
KTOS,Kratos Defense & Security Solutions,Industrials,Aerospace & Defense,S&P 400,7319100,4960980.0,184.27704756797618,-15.080100857450077,False,1273.6112611586711,True,1.0274202848721756,4.7554766876301935,None,0.6650353604309152,-0.10737133419105682,False,21,94.62999725341797
GLW,Corning Inc.,Information Technology,Electronic Components,S&P 500,7893200,7239010.0,193.37931231491694,-22.535049522671187,False,1265.713838371438,True,1.0321535453820854,2.044400283481141,None,0.5466978990086369,-0.04103725088452803,False,48,82.9800033569336
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,S&P 600,1090400,1294630.0,139.93194830792345,-46.181083743641494,False,1131.9414895293035,True,1.0213731260799728,1.2352887352426114,None,0.30469926821363763,-0.09881428682622478,False,80,40.13999938964844
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,S&P 500,41164500,35454180.0,143.82462774158316,2.012811562226318,False,1091.826358390708,True,1.0361265398747939,6.609199453897613,None,0.44171711649031065,-0.039657097961070975,False,15,138.9600067138672
IDCC,"InterDigital, Inc.",Information Technology,Communications Equipment,S&P 600,272200,430080.0,122.1552443536001,-31.390167483505195,False,1059.9339923483753,True,1.021079701193574,10.76843708302693,None,0.2528846081752677,-0.0019685222198495556,False,9,339.8999938964844
CIEN,Ciena,Information Technology,Communications Equipment,S&P 400,3055100,2468330.0,223.30784367612404,-24.735531601382377,False,1050.3304190522804,True,1.0406899070656577,5.511544161709883,None,0.7008532518965763,-0.035977692659262206,False,18,155.94000244140625
APH,Amphenol,Information Technology,Electronic Components,S&P 500,5714000,6449550.0,89.16717922979211,-17.935841810547203,False,1047.2386847076823,True,1.0224662977412649,2.9948114246897894,None,0.2650130136717159,-0.006487236416198083,False,33,121.69999694824219
NEM,Newmont,Materials,Gold,S&P 500,9042300,10593170.0,140.39914722393095,-25.741274217421335,False,1023.415355984754,True,1.019335194759068,2.2746764014222265,None,0.4466649545396768,-0.11873539529784749,False,43,85.13999938964844
TTMI,"TTM Technologies, Inc.",Information Technology,Electronic Manufacturing Services,S&P 600,2542100,2885120.0,93.88505608385684,-26.64197594497881,False,989.6635863024079,True,1.020923769929782,2.765808666658056,None,0.2631702377171136,-0.08417257619496066,False,36,53.58000183105469
FIX,Comfort Systems USA,Industrials,Construction & Engineering,S&P 400,312200,288890.0,97.36846988700722,-14.753052239612202,False,977.3278362835249,True,1.024855814219282,28.282155557443208,None,0.2336635884547459,-0.01705330776820793,False,3,816.0700073242188
NEU,NewMarket Corporation,Materials,Specialty Chemicals,S&P 400,84000,106570.0,26.33485313927006,-43.6797069810952,False,931.0174241836323,True,1.016122161221565,19.496354190915635,None,0.03303774389713019,-0.16545096223594508,False,5,783.6500244140625
