Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,NVDA,Information Technology,Semiconductors,Nasdaq 100,159.71,99,99,99,98
2,ARM,Information Technology,Semiconductors,Nasdaq 100,142.96,99,98,99,95
3,CEG,Utilities,Electric Utilities,Nasdaq 100,126.24,98,99,95,99
4,TTD,Communication Services,Advertising,Nasdaq 100,126.16,97,92,89,75
5,BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Nasdaq 100,124.53,96,78,28,63
6,MRVL,Information Technology,Application Software,Nasdaq 100,123.12,95,57,20,72
7,AVGO,Information Technology,Semiconductors,Nasdaq 100,122.56,94,97,98,93
8,DASH,Consumer Discretionary,Specialized Consumer Services,Nasdaq 100,121.41,93,96,87,78
9,NFLX,Communication Services,Movies & Entertainment,Nasdaq 100,117.54,92,91,88,87
10,TMUS,Communication Services,Wireless Telecommunication Services,Nasdaq 100,115.5,91,89,92,44
11,ISRG,Health Care,Health Care Equipment,Nasdaq 100,115.2,90,88,97,64
12,TEAM,Information Technology,Application Software,Nasdaq 100,114.54,89,7,5,22
13,META,Communication Services,Interactive Media & Services,Nasdaq 100,112.29,88,95,96,89
14,CTAS,Industrials,Diversified Support Services,Nasdaq 100,110.77,87,93,93,81
15,ILMN,Health Care,Life Sciences Tools & Services,Nasdaq 100,109.75,86,68,34,2
16,ADSK,Information Technology,Application Software,Nasdaq 100,109.47,85,65,58,18
17,TSLA,Consumer Discretionary,Automobile Manufacturers,Nasdaq 100,108.76,84,38,40,6
18,FTNT,Information Technology,Systems Software,Nasdaq 100,108.71,83,87,80,16
19,PYPL,Financials,Transaction & Payment Processing Services,Nasdaq 100,108.42,82,94,52,48
20,COST,Consumer Staples,Consumer Staples Merchandise Retail,Nasdaq 100,107.11,81,86,94,83
21,GILD,Health Care,Biotechnology,Nasdaq 100,106.67,80,81,46,8
22,MELI,Consumer Discretionary,Broadline Retail,Nasdaq 100,105.67,79,90,85,56
23,CRWD,Information Technology,Systems Software,Nasdaq 100,105.49,78,41,38,96
24,PANW,Information Technology,Systems Software,Nasdaq 100,105.0,77,72,84,57
25,FAST,Industrials,Trading Companies & Distributors,Nasdaq 100,104.55,76,63,48,50
26,TXN,Information Technology,Semiconductors,Nasdaq 100,104.44,75,69,77,74
27,AMZN,Consumer Discretionary,Broadline Retail,Nasdaq 100,103.56,74,54,39,82
28,ADP,Industrials,Human Resource & Employment Services,Nasdaq 100,102.87,73,82,61,33
29,SBUX,Consumer Discretionary,Restaurants,Nasdaq 100,102.54,72,80,9,0
30,DDOG,Information Technology,Application Software,Nasdaq 100,102.37,71,46,36,46
31,PAYX,Industrials,Human Resource & Employment Services,Nasdaq 100,102.06,70,79,47,40
